ensembl_gene_id,gene_symbol,SRR35143100,SRR35143101,SRR35143102,SRR35143106,SRR35143107,SRR35143108,SRR19070038,SRR19070039,SRR19070040,SRR19070035,SRR19070036,SRR19070037
ENSMUSG00000001034,Mapk7,216.008,203.992,200,253.054,180,210.99999999999997,335.0000000000001,441.0010000000001,346.001,251.00000000000003,323.20700000000005,391.00000000000006
ENSMUSG00000001036,Epn2,38.298,27.916,22.378,25.668000000000003,18.909,31.536,102.302,63.300999999999995,45.544000000000004,58.353,23.912999999999997,43.763
ENSMUSG00000001039,B9d1,40.027,23.979,26.164,23.804999999999996,20.015,30.802,34.189,77.85600000000001,44.473,37.26,36.742999999999995,47.101
ENSMUSG00000001052,Sec24b,109.61099999999999,127.99700000000001,147.465,139.632,115.881,147.39499999999998,417.621,512.551,465.52000000000004,492.657,363.646,412.009
ENSMUSG00000001053,N4bp3,1.203,0,2.644,2.649,5.942,5.351,4.0600000000000005,3.768,5.996,7.905,3.842,4.749
ENSMUSG00000001054,Rmnd5b,13.676,1.178,2.918,4.471,3.7159999999999997,6.225,12.463000000000001,50.64600000000001,59.377,61.223,27.430999999999997,18.266
ENSMUSG00000001056,Nhp2,15.591,15.468,13.114,18.23,8.341,3.34,18.603,15.652,13.153,13.945,17.206,10.276
ENSMUSG00000001062,Vps9d1,176.383,123.099,169.84300000000005,200.22500000000002,128.594,315.65000000000003,448.583,451.81,478.83700000000005,274.519,383.756,433.177
ENSMUSG00000001065,Zfp276,76.604,106.68599999999999,79.41300000000001,122.155,87.588,91.49,228.226,244.86100000000002,223.81900000000002,154.35100000000003,163.70100000000002,272.649
ENSMUSG00000001082,Mfsd10,53.928999999999995,68.035,40.798,59.413,49.46699999999999,67.603,115.92500000000001,137.82899999999998,131.435,72.54699999999998,87.29099999999998,147.49200000000002
ENSMUSG00000001089,Luzp1,5,8,2,3.004,3,5,4,3,1.013,8.036,1,2
ENSMUSG00000001098,Kctd10,7.073,5.124,7.212,9.806,6.4430000000000005,10.408999999999999,18.567999999999998,9.979000000000001,10.76,8.533,18.578,12.64
ENSMUSG00000001100,Poldip2,67.071,88.959,77.84,93.789,58.857000000000006,95.72800000000001,159.507,118.597,169.16299999999998,395.42699999999996,114.638,173.20100000000002
ENSMUSG00000001103,Sebox,4,1,6,9,3,4,5,8,8,4,4,6
ENSMUSG00000001105,Ift20,109.15599999999999,129.856,82.23200000000001,138.796,114.07000000000001,113.315,126.928,117.979,123.864,79.893,113.952,111.97200000000001
ENSMUSG00000001119,Col6a1,255,246.092,184,392,283,280,479,564.38,457.004,306,414,521.071
ENSMUSG00000001120,Pcbp3,209.458,117.20599999999999,203.558,107.53200000000001,307.42499999999995,160.393,331.15999999999997,473.019,434.26,1002.634,454.551,441.305
ENSMUSG00000001123,Lgals9,0,1,3,4,2,3,1.159,3.268,2,4,1,3
